# ADC channel: 0  gain: 100x  conv_time_us: 2602.8645  fs_Hz: 384.1921  dac_voltage_V: 0.05
# freq_Hz  psd_bg_V2perHz  psd_sig_V2perHz  psd_subtracted_V2perHz
4.38969498e+01 4.81853248e-13 2.70262100e-11 2.65443567e-11
4.42721375e+01 4.02747861e-13 2.88411028e-11 2.84383549e-11
4.46473251e+01 3.97881094e-13 2.84364135e-11 2.80385324e-11
4.50225127e+01 4.36047787e-13 2.26384093e-11 2.22023615e-11
4.53977003e+01 4.65659703e-13 2.67636752e-11 2.62980155e-11
4.57728879e+01 5.29888615e-13 2.56524791e-11 2.51225905e-11
4.61480755e+01 5.05307403e-13 2.79257947e-11 2.74204873e-11
4.65232631e+01 6.20978010e-13 3.10699088e-11 3.04489308e-11
4.68984507e+01 5.87661527e-13 3.10202431e-11 3.04325815e-11
4.72736383e+01 4.79532173e-13 2.52625121e-11 2.47829800e-11
4.76488259e+01 5.05200501e-13 1.98332537e-11 1.93280532e-11
4.80240135e+01 5.93336619e-13 2.42614600e-11 2.36681234e-11
4.83992011e+01 4.90893714e-13 3.08055868e-11 3.03146931e-11
4.87743887e+01 5.15865523e-13 2.65285308e-11 2.60126653e-11
4.91495763e+01 5.93329628e-13 2.33381820e-11 2.27448523e-11
4.95247639e+01 6.24346109e-13 2.75298794e-11 2.69055333e-11
4.98999515e+01 5.89871001e-13 2.76114369e-11 2.70215659e-11
5.02751391e+01 5.10541477e-13 2.17696330e-11 2.12590915e-11
5.06503267e+01 4.77072723e-13 2.14590386e-11 2.09819659e-11
5.10255144e+01 4.57603114e-13 2.26849086e-11 2.22273054e-11
5.14007020e+01 4.99172380e-13 2.31164426e-11 2.26172702e-11
5.17758896e+01 4.83189018e-13 2.26769065e-11 2.21937175e-11
5.21510772e+01 5.93334861e-13 2.53475716e-11 2.47542368e-11
5.25262648e+01 6.41046782e-13 2.44360553e-11 2.37950085e-11
5.29014524e+01 6.96436990e-13 2.31158387e-11 2.24194017e-11
5.32766400e+01 6.49436158e-13 3.09180968e-11 3.02686606e-11
5.36518276e+01 5.20491153e-13 2.67655263e-11 2.62450351e-11
5.40270152e+01 5.40937975e-13 2.23016119e-11 2.17606739e-11
5.44022028e+01 5.31305343e-13 2.40162194e-11 2.34849141e-11
5.47773904e+01 5.64654644e-13 2.28534687e-11 2.22888141e-11
5.51525780e+01 5.41104838e-13 1.91859452e-11 1.86448404e-11
5.55277656e+01 4.93900950e-13 2.13992864e-11 2.09053855e-11
5.59029532e+01 5.02515740e-13 2.94062360e-11 2.89037203e-11
5.62781408e+01 4.31393800e-13 2.81953660e-11 2.77639722e-11
5.66533284e+01 4.12157244e-13 2.39548168e-11 2.35426596e-11
5.70285160e+01 5.65677945e-13 2.99698861e-11 2.94042082e-11
5.74037036e+01 4.71236398e-13 2.89273609e-11 2.84561245e-11
5.77788913e+01 4.94935642e-13 3.02184749e-11 2.97235392e-11
5.81540789e+01 5.29409318e-13 3.28559191e-11 3.23265098e-11
5.85292665e+01 5.03946961e-13 2.64401332e-11 2.59361862e-11
5.89044541e+01 4.94291193e-13 1.75428971e-11 1.70486059e-11
5.92796417e+01 4.52194854e-13 2.34163866e-11 2.29641918e-11
5.96548293e+01 5.03808228e-13 2.76856069e-11 2.71817986e-11
6.00300169e+01 4.61968651e-13 2.45915696e-11 2.41296009e-11
6.04052045e+01 5.41164863e-13 1.80219460e-11 1.74807812e-11
6.07803921e+01 5.30243942e-13 1.78991511e-11 1.73689072e-11
6.11555797e+01 4.35117816e-13 1.91443646e-11 1.87092468e-11
6.15307673e+01 4.87854759e-13 2.48830064e-11 2.43951517e-11
6.19059549e+01 5.38791297e-13 2.92610049e-11 2.87222136e-11
6.22811425e+01 5.00372209e-13 3.11787629e-11 3.06783907e-11
6.26563301e+01 5.44408336e-13 3.07806437e-11 3.02362354e-11
6.30315177e+01 5.89113985e-13 2.83347088e-11 2.77455949e-11
6.34067053e+01 5.35560253e-13 2.76516254e-11 2.71160652e-11
6.37818929e+01 4.42992141e-13 2.57725283e-11 2.53295361e-11
6.41570805e+01 4.65171237e-13 2.40679369e-11 2.36027656e-11
6.45322682e+01 5.08717296e-13 3.04761696e-11 2.99674523e-11
6.49074558e+01 4.82181534e-13 2.99616257e-11 2.94794441e-11
6.52826434e+01 5.86536167e-13 2.72589980e-11 2.66724618e-11
6.56578310e+01 6.48001839e-13 3.03674604e-11 2.97194586e-11
6.60330186e+01 4.64167064e-13 2.81673260e-11 2.77031589e-11
6.64082062e+01 4.03046825e-13 2.67864427e-11 2.63833959e-11
6.67833938e+01 4.00643263e-13 2.72251806e-11 2.68245374e-11
6.71585814e+01 4.58576737e-13 2.40042467e-11 2.35456700e-11
6.75337690e+01 4.57413590e-13 2.23163661e-11 2.18589526e-11
6.79089566e+01 4.45646652e-13 2.60236757e-11 2.55780290e-11
6.82841442e+01 5.40287734e-13 3.05295199e-11 2.99892322e-11
6.86593318e+01 6.84745186e-13 3.43103943e-11 3.36256491e-11
6.90345194e+01 6.19568926e-13 3.35282913e-11 3.29087223e-11
6.94097070e+01 4.96022283e-13 2.90952905e-11 2.85992682e-11
6.97848946e+01 5.44663675e-13 2.08966609e-11 2.03519972e-11
7.01600822e+01 4.79107790e-13 1.90083627e-11 1.85292549e-11
7.05352698e+01 4.39949915e-13 2.59514354e-11 2.55114855e-11
7.09104574e+01 4.01261153e-13 3.26888022e-11 3.22875411e-11
7.12856451e+01 5.93466004e-13 3.44954981e-11 3.39020321e-11
7.16608327e+01 3.25743812e-12 2.41321206e-11 2.08746825e-11
7.20360203e+01 2.73272590e-12 2.50287495e-11 2.22960236e-11
7.24112079e+01 5.75932685e-13 3.13846499e-11 3.08087172e-11
7.27863955e+01 4.96498926e-13 3.18989172e-11 3.14024182e-11
7.31615831e+01 5.33683638e-13 2.78205988e-11 2.72869152e-11
7.35367707e+01 4.86602898e-13 2.32841884e-11 2.27975855e-11
7.39119583e+01 5.07048396e-13 2.55634242e-11 2.50563758e-11
7.42871459e+01 5.25793517e-13 2.46826219e-11 2.41568284e-11
7.46623335e+01 5.46761835e-13 2.80524559e-11 2.75056940e-11
7.50375211e+01 5.17274972e-13 2.82679885e-11 2.77507135e-11
7.54127087e+01 5.04357969e-13 2.54954344e-11 2.49910764e-11
7.57878963e+01 4.68932810e-13 2.81022864e-11 2.76333536e-11
7.61630839e+01 5.41999323e-13 3.23502561e-11 3.18082568e-11
7.65382715e+01 5.55370634e-13 2.73813645e-11 2.68259938e-11
7.69134591e+01 5.76985901e-13 2.59701323e-11 2.53931464e-11
7.72886467e+01 4.66875339e-13 2.61870450e-11 2.57201696e-11
7.76638343e+01 4.43086498e-13 2.27115904e-11 2.22685039e-11
7.80390219e+01 4.11793766e-13 1.47951788e-11 1.43833850e-11
7.84142096e+01 4.69749386e-13 1.84477921e-11 1.79780427e-11
7.87893972e+01 4.86567451e-13 2.33565235e-11 2.28699561e-11
7.91645848e+01 4.17910387e-13 2.30467420e-11 2.26288316e-11
7.95397724e+01 4.48997492e-13 2.35383009e-11 2.30893034e-11
7.99149600e+01 4.45398694e-13 2.80644759e-11 2.76190772e-11
8.02901476e+01 5.53615155e-13 2.79802947e-11 2.74266796e-11
8.06653352e+01 5.74022998e-13 2.44516734e-11 2.38776504e-11
8.10405228e+01 5.96831757e-13 2.79489256e-11 2.73520938e-11
8.14157104e+01 6.69206030e-13 2.28218915e-11 2.21526855e-11
8.17908980e+01 6.28883225e-13 2.47124078e-11 2.40835246e-11
8.21660856e+01 5.49036203e-13 2.12326798e-11 2.06836436e-11
8.25412732e+01 4.35649250e-13 1.90671790e-11 1.86315298e-11
8.29164608e+01 6.32028588e-13 2.85486132e-11 2.79165846e-11
8.32916484e+01 6.62359238e-13 3.13358443e-11 3.06734850e-11
8.36668360e+01 6.00066082e-13 2.36598290e-11 2.30597629e-11
8.40420236e+01 5.00570541e-13 1.79292996e-11 1.74287291e-11
8.44172112e+01 5.90224957e-13 2.35465658e-11 2.29563408e-11
8.47923988e+01 5.09797465e-13 2.63483891e-11 2.58385917e-11
8.51675865e+01 4.76889139e-13 2.61464360e-11 2.56695468e-11
8.55427741e+01 6.25487548e-13 2.61248350e-11 2.54993474e-11
8.59179617e+01 5.63781499e-13 2.71340752e-11 2.65702937e-11
8.62931493e+01 4.30228130e-13 2.44077264e-11 2.39774983e-11
8.66683369e+01 4.17129518e-13 2.33484494e-11 2.29313199e-11
8.70435245e+01 3.55648297e-13 2.38398938e-11 2.34842455e-11
8.74187121e+01 4.85347709e-13 2.36491358e-11 2.31637881e-11
8.77938997e+01 5.51685800e-13 2.64061245e-11 2.58544387e-11
8.81690873e+01 6.10300783e-13 2.52922099e-11 2.46819091e-11
8.85442749e+01 6.16692750e-13 2.71870720e-11 2.65703792e-11
8.89194625e+01 6.37679549e-13 2.61422157e-11 2.55045361e-11
8.92946501e+01 5.64511538e-13 2.25167965e-11 2.19522849e-11
8.96698377e+01 6.02538284e-13 4.33803993e-11 4.27778610e-11
9.00450253e+01 5.24166591e-13 7.34400212e-11 7.29158546e-11
9.04202129e+01 4.50248272e-13 3.57113603e-11 3.52611120e-11
9.07954005e+01 4.85390905e-13 1.84933836e-11 1.80079927e-11
9.11705881e+01 4.92344283e-13 1.89562290e-11 1.84638847e-11
9.15457757e+01 4.33028023e-13 2.23915378e-11 2.19585098e-11
9.19209634e+01 3.76441720e-13 2.22770153e-11 2.19005735e-11
9.22961510e+01 3.46205821e-13 2.12787926e-11 2.09325868e-11
9.26713386e+01 4.22645414e-13 2.35681561e-11 2.31455107e-11
9.30465262e+01 4.77316345e-13 2.49159593e-11 2.44386430e-11
9.34217138e+01 5.11762918e-13 2.82233561e-11 2.77115932e-11
9.37969014e+01 4.91517551e-13 2.76281374e-11 2.71366199e-11
9.41720890e+01 5.84971724e-13 2.62402129e-11 2.56552412e-11
9.45472766e+01 5.65813528e-13 2.66172467e-11 2.60514332e-11
9.49224642e+01 5.27890307e-13 2.16518999e-11 2.11240096e-11
9.52976518e+01 5.38716625e-13 2.50709321e-11 2.45322155e-11
9.56728394e+01 6.84157758e-13 2.31199364e-11 2.24357786e-11
9.60480270e+01 5.72398002e-13 2.14313247e-11 2.08589267e-11
9.64232146e+01 4.15474696e-13 2.49689548e-11 2.45534801e-11
9.67984022e+01 4.60149599e-13 2.58477464e-11 2.53875968e-11
9.71735898e+01 4.72586455e-13 2.40100579e-11 2.35374714e-11
9.75487774e+01 4.34929076e-13 2.34571892e-11 2.30222602e-11
9.79239650e+01 4.65904882e-13 2.65447086e-11 2.60788037e-11
9.82991526e+01 5.16487658e-13 2.43671164e-11 2.38506287e-11
9.86743403e+01 4.87749127e-13 1.83006161e-11 1.78128670e-11
9.90495279e+01 4.42225357e-13 1.63485920e-11 1.59063666e-11
9.94247155e+01 4.43452228e-13 2.05415390e-11 2.00980868e-11
9.97999031e+01 4.98467831e-13 2.69185282e-11 2.64200604e-11
1.00175091e+02 6.05201563e-13 2.53547287e-11 2.47495272e-11
1.00550278e+02 6.32121738e-13 2.34013578e-11 2.27692361e-11
1.00925466e+02 4.67733558e-13 2.35053371e-11 2.30376036e-11
1.01300653e+02 4.96250538e-13 2.89909697e-11 2.84947191e-11
1.01675841e+02 4.20453957e-13 2.87378977e-11 2.83174438e-11
1.02051029e+02 4.42439821e-13 2.70167162e-11 2.65742764e-11
1.02426216e+02 4.67929034e-13 2.82964877e-11 2.78285586e-11
1.02801404e+02 5.18152404e-13 3.19026985e-11 3.13845461e-11
1.03176592e+02 4.88767928e-13 2.31615021e-11 2.26727342e-11
1.03551779e+02 4.69813468e-13 2.63690794e-11 2.58992659e-11
1.03926967e+02 4.42634729e-13 2.31782859e-11 2.27356511e-11
1.04302154e+02 5.21969384e-13 2.27308663e-11 2.22088970e-11
1.04677342e+02 5.51867972e-13 2.31798314e-11 2.26279635e-11
1.05052530e+02 5.26180868e-13 2.34865626e-11 2.29603818e-11
1.05427717e+02 6.12199319e-13 2.45674555e-11 2.39552562e-11
1.05802905e+02 6.49026215e-13 2.41067336e-11 2.34577073e-11
1.06178092e+02 5.47807868e-13 2.55269261e-11 2.49791182e-11
1.06553280e+02 5.26282513e-13 2.49366852e-11 2.44104027e-11
1.06928468e+02 4.71545192e-13 2.70219568e-11 2.65504116e-11
