# ADC channel: 0  gain: 100x  conv_time_us: 2602.8645  fs_Hz: 384.1921
# background_V  signal_V
-4.24921559e-03 4.98990726e+00
-4.26471280e-03 4.98993826e+00
-4.25398396e-03 4.98997641e+00
-4.25875233e-03 4.99002790e+00
-4.26471280e-03 4.98995018e+00
-4.26113652e-03 4.99011946e+00
-4.26352071e-03 4.98992777e+00
-4.27067326e-03 4.98994780e+00
-4.25517606e-03 4.99010515e+00
-4.25636815e-03 4.99005508e+00
-4.25279187e-03 4.98998356e+00
-4.25517606e-03 4.99012184e+00
-4.23967885e-03 4.99007797e+00
-4.25994443e-03 4.99001932e+00
-4.26948117e-03 4.98986912e+00
-4.25040768e-03 4.99000406e+00
-4.25159978e-03 4.98993492e+00
-4.25636815e-03 4.98994064e+00
-4.24444722e-03 4.98998976e+00
-4.23848676e-03 4.98987627e+00
-4.26113652e-03 4.98987055e+00
-4.23252629e-03 4.98999214e+00
-4.27067326e-03 4.98985243e+00
-4.26113652e-03 4.98981810e+00
-4.24921559e-03 4.98993587e+00
-4.23133420e-03 4.98984051e+00
-4.26590489e-03 4.98985863e+00
-4.25875233e-03 4.98990965e+00
-4.23848676e-03 4.98999071e+00
-4.25040768e-03 4.98990965e+00
-4.25040768e-03 4.98987770e+00
-4.25636815e-03 4.98993349e+00
-4.27186536e-03 4.98989534e+00
-4.25159978e-03 4.98982620e+00
-4.25875233e-03 4.98988819e+00
-4.26828908e-03 4.99002314e+00
-4.25040768e-03 4.98983812e+00
-4.26113652e-03 4.99007797e+00
-4.24206303e-03 4.98981905e+00
-4.24802350e-03 4.98981810e+00
-4.24206303e-03 4.98986101e+00
-4.25756024e-03 4.98994064e+00
-4.25159978e-03 4.98989439e+00
-4.24206303e-03 4.98990965e+00
-4.25398396e-03 4.98991585e+00
-4.25040768e-03 4.98983812e+00
-4.26709699e-03 4.98987532e+00
-4.24087094e-03 4.98982859e+00
-4.24087094e-03 4.98984432e+00
-4.25398396e-03 4.98980856e+00
-4.25279187e-03 4.98988724e+00
-4.23848676e-03 4.98983002e+00
-4.25040768e-03 4.98991823e+00
-4.25159978e-03 4.98995733e+00
-4.26828908e-03 4.98995876e+00
-4.28378629e-03 4.98996449e+00
-4.25994443e-03 4.98987770e+00
-4.25040768e-03 4.98980236e+00
-4.25279187e-03 4.98987389e+00
-4.25636815e-03 4.98990965e+00
-4.24563931e-03 4.98992062e+00
-4.25159978e-03 4.98978472e+00
-4.25756024e-03 4.98987532e+00
-4.24802350e-03 4.98992062e+00
-4.23252629e-03 4.98985147e+00
-4.25875233e-03 4.98982620e+00
-4.25040768e-03 4.98998022e+00
